OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ModelYear,Make,Model,VehicleDescription,VehicleId,rating_updated_on
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,Not Rated,0.279,0.0,No Tip,Not Rated,Standard,Optional,Optional,2024,CHEVROLET,EXPRESS PASSENGER 3500- 15 PASSENGER,2024 Chevrolet Express Passenger 3500- 15 passenger PV RWD,19046,2024-12-26 11:38:15.587083+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.103,0.0,No Tip,5,Standard,Standard & Optional,Standard & Optional,2024,CHEVROLET,MALIBU,2024 Chevrolet Malibu 4 DR FWD,18968,2024-05-25 12:31:50.348814+00:00
5,5,5,5,5,5,Not Rated,5,Not Rated,5,4,Not Rated,0.191,0.0,No Tip,5,Standard,Standard,Standard,2024,CHEVROLET,SILVERADO 1500,2024 Chevrolet Silverado 1500 PU/RC RWD,19064,2024-10-17 10:40:31.185155+00:00
5,5,5,5,5,5,Not Rated,5,Not Rated,5,4,Not Rated,0.191,0.0,No Tip,5,Standard,Standard,Standard,2024,CHEVROLET,SILVERADO 1500,2024 Chevrolet Silverado 1500 PU/RC 4WD,19065,2024-10-15 10:35:37.561921+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.191,0.0,No Tip,5,Standard,Standard,Standard,2024,CHEVROLET,SILVERADO 1500,2024 Chevrolet Silverado 1500 PU/EC RWD,19068,2024-10-07 10:34:36.617203+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.191,0.0,No Tip,5,Standard,Standard,Standard,2024,CHEVROLET,SILVERADO 1500,2024 Chevrolet Silverado 1500 PU/EC 4WD,19069,2024-10-12 11:31:03.791697+00:00
5,4,5,4,5,5,5,5,5,5,4,Not Rated,0.191,0.0,No Tip,5,Standard,Standard & Optional,Standard & Optional,2024,CHEVROLET,SILVERADO 1500,2024 Chevrolet Silverado 1500 PU/CC RWD,19072,2024-05-25 12:40:20.800201+00:00
5,4,5,4,5,5,5,5,5,5,4,Not Rated,0.198,0.0,No Tip,5,Standard,Standard & Optional,Standard & Optional,2024,CHEVROLET,SILVERADO 1500,2024 Chevrolet Silverado 1500 PU/CC 4WD,19073,2024-05-25 12:31:50.348814+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,CHEVROLET,SILVERADO 2500,2024 Chevrolet Silverado 2500 PU/RC RWD,19052,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,CHEVROLET,SILVERADO 2500,2024 Chevrolet Silverado 2500 PU/RC 4WD,19053,2024-12-29 11:33:30.038202+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,CHEVROLET,SILVERADO 2500,2024 Chevrolet Silverado 2500 PU/EC RWD,19056,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,CHEVROLET,SILVERADO 2500,2024 Chevrolet Silverado 2500 PU/EC 4WD,19057,2024-12-17 11:33:30.434063+00:00
Not Rated,5,5,4,5,5,5,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,Standard,Standard,Standard,2024,CHEVROLET,SILVERADO 2500,2024 Chevrolet Silverado 2500 PU/CC RWD,19060,2024-12-31 11:37:41.109304+00:00
Not Rated,5,5,4,5,5,5,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,Standard,Standard,Standard,2024,CHEVROLET,SILVERADO 2500,2024 Chevrolet Silverado 2500 PU/CC 4WD,19061,2024-12-30 11:33:00.092872+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,CHEVROLET,SILVERADO EV,2024 Chevrolet Silverado EV PU/CC AWD,19082,2024-12-26 11:38:15.587083+00:00
4,4,5,4,5,5,5,5,5,5,3,Not Rated,0.212,0.0,No Tip,5,Standard,Standard & Optional,Standard & Optional,2024,CHEVROLET,SUBURBAN,2024 Chevrolet Suburban SUV RWD,19032,2024-05-25 12:31:50.348814+00:00
4,4,5,4,5,5,5,5,5,5,3,Not Rated,0.219,0.0,No Tip,5,Standard,Standard & Optional,Standard & Optional,2024,CHEVROLET,SUBURBAN,2024 Chevrolet Suburban SUV 4WD,19033,2024-05-25 12:31:50.348814+00:00
4,4,5,4,5,5,5,5,5,5,3,Not Rated,0.212,0.0,No Tip,5,Standard,Optional,Optional,2024,CHEVROLET,TAHOE,2024 Chevrolet Tahoe SUV RWD,19026,2024-05-25 12:40:20.800201+00:00
4,4,5,4,5,5,5,5,5,5,3,Not Rated,0.219,0.0,No Tip,5,Standard,Optional,Optional,2024,CHEVROLET,TAHOE,2024 Chevrolet Tahoe SUV 4WD,19027,2024-05-25 12:31:50.348814+00:00
5,5,5,4,5,5,5,5,5,5,4,Not Rated,0.185,0.0,No Tip,5,Standard,Standard,Standard,2024,CHEVROLET,TRAILBLAZER,2024 Chevrolet Trailblazer SUV FWD,19001,2024-05-25 12:40:20.800201+00:00
5,5,5,4,5,5,5,5,5,5,4,Not Rated,0.179,0.0,No Tip,5,Standard,Standard,Standard,2024,CHEVROLET,TRAILBLAZER,2024 Chevrolet Trailblazer SUV AWD,19002,2024-05-25 12:31:50.348814+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard & Optional,Standard & Optional,2024,CHEVROLET,TRAVERSE,2024 Chevrolet Traverse SUV FWD,19010,2024-12-31 11:37:41.109304+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard & Optional,Standard & Optional,2024,CHEVROLET,TRAVERSE,2024 Chevrolet Traverse SUV AWD,19011,2024-12-21 11:33:05.659837+00:00
4,5,5,5,5,5,4,5,4,5,4,Not Rated,0.169,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,CHEVROLET,TRAVERSE LIMITED,2024 Chevrolet Traverse Limited SUV FWD,20005,2024-06-19 09:00:13.704323+00:00
5,5,5,5,5,5,4,5,4,5,4,Not Rated,0.151,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,CHEVROLET,TRAVERSE LIMITED,2024 Chevrolet Traverse Limited SUV AWD,20006,2024-06-17 12:14:00.859681+00:00
4,4,5,4,5,4,5,4,5,5,4,Not Rated,0.155,0.0,No Tip,5,Standard,Standard,Standard,2024,CHEVROLET,TRAX,2024 Chevrolet Trax SUV FWD,19003,2024-11-17 12:04:47.037548+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.116,0.0,No Tip,5,Standard,Standard,Standard,2024,CHRYSLER,PACIFICA,2024 Chrysler Pacifica PV FWD,19293,2024-05-25 12:31:50.348814+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.121,0.0,No Tip,5,Standard,Standard,Standard,2024,CHRYSLER,PACIFICA AWD,2024 Chrysler Pacifica AWD PV AWD,19294,2024-08-02 11:59:54.858066+00:00
5,4,4,4,5,5,5,5,5,5,4,Not Rated,0.109,0.0,No Tip,5,Standard,Standard,Standard,2024,CHRYSLER,PACIFICA HYBRID,2024 Chrysler Pacifica Hybrid PV FWD,19295,2024-05-25 12:40:20.800201+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.116,0.0,No Tip,5,Standard,Standard,Optional,2024,CHRYSLER,VOYAGER,2024 Chrysler Voyager PV FWD,19296,2024-05-25 12:31:50.348814+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,DODGE,CHARGER,2024 Dodge Charger 2 DR AWD,20090,2024-12-26 11:38:15.587083+00:00
4,4,4,4,5,5,5,5,5,5,4,Not Rated,0.198,0.0,No Tip,5,Standard,Optional,Optional,2024,DODGE,DURANGO,2024 Dodge Durango SUV RWD,19297,2024-05-25 12:40:20.800201+00:00
4,4,4,4,5,5,5,5,5,5,3,Not Rated,0.212,0.0,No Tip,5,Standard,Optional,Optional,2024,DODGE,DURANGO,2024 Dodge Durango SUV AWD,19298,2024-05-25 12:40:20.800201+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,DODGE,DURANGO PURSUIT,2024 Dodge Durango Pursuit SUV AWD,19300,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,DODGE,DURANGO SRT,2024 Dodge Durango SRT SUV AWD,19299,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,DODGE,HORNET,2024 Dodge Hornet SUV AWD,19301,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,DODGE,HORNET R/T EAWD,2024 Dodge Hornet R/T eAWD SUV AWD,19302,2024-12-29 11:33:30.038202+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,No,2024,FIAT,500E,2024 Fiat 500e 3 HB FWD,20045,2024-12-29 11:33:30.038202+00:00
Not Rated,4,5,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,Not Rated,0.256,0.0,No Tip,Not Rated,Standard,Standard & Optional,Standard,2024,FORD,BRONCO,2024 Ford Bronco 2DR SUV 4WD,19106,2024-12-30 11:33:00.092872+00:00
Not Rated,4,4,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,Not Rated,0.256,0.0,No Tip,Not Rated,Standard,Standard & Optional,Standard,2024,FORD,BRONCO,2024 Ford Bronco SUV 4WD,19107,2024-12-29 11:33:30.038202+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.174,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,BRONCO SPORT,2024 Ford Bronco Sport SUV 4WD,19108,2024-05-25 12:40:20.800201+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.155,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,EDGE,2024 Ford Edge SUV FWD,19109,2024-05-25 12:31:50.348814+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.155,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,EDGE,2024 Ford Edge SUV AWD,19110,2024-05-25 12:31:50.348814+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.169,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,ESCAPE,2024 Ford Escape SUV FWD,19111,2024-05-25 12:40:20.800201+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.174,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,ESCAPE,2024 Ford Escape SUV AWD,19112,2024-05-25 12:31:50.348814+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.169,0.0,No Tip,5,Standard,Standard,Standard,2024,FORD,ESCAPE HEV,2024 Ford Escape HEV SUV FWD,19113,2024-05-25 12:40:20.800201+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.174,0.0,No Tip,5,Standard,Standard,Standard,2024,FORD,ESCAPE HEV,2024 Ford Escape HEV SUV AWD,19114,2024-05-25 12:31:50.348814+00:00
5,4,4,5,5,5,5,5,5,5,4,Not Rated,0.143,0.0, ,5,Standard,Standard,Standard,2024,FORD,ESCAPE PHEV,2024 Ford Escape PHEV SUV FWD,19115,2024-05-25 12:40:20.800201+00:00
5,5,5,5,5,5,5,5,5,5,3,Not Rated,0.212,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,EXPEDITION,2024 Ford Expedition SUV RWD,19116,2024-05-25 12:40:20.800201+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.191,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,EXPEDITION,2024 Ford Expedition SUV 4WD,19117,2024-05-25 12:40:20.800201+00:00
5,5,5,5,5,5,5,5,5,5,3,Not Rated,0.212,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,EXPEDITION EL,2024 Ford Expedition EL SUV RWD,19118,2024-05-25 12:40:20.800201+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.191,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,EXPEDITION EL,2024 Ford Expedition EL SUV 4WD,19119,2024-05-25 12:40:20.800201+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.147,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,EXPLORER,2024 Ford Explorer SUV RWD,19120,2024-05-25 12:31:50.348814+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.151,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,EXPLORER,2024 Ford Explorer SUV 4WD,19121,2024-05-25 12:40:20.800201+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.147,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,EXPLORER HEV,2024 Ford Explorer HEV SUV RWD,19122,2024-05-25 12:40:20.800201+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.151,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,EXPLORER HEV,2024 Ford Explorer HEV SUV 4WD,19123,2024-05-25 12:31:50.348814+00:00
5,5,4,5,5,5,5,5,5,5,4,Not Rated,0.164,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,F-150 (REGULAR CAB) GAS,2024 Ford F-150 (Regular Cab) Gas PU/RC RWD,19124,2024-05-25 12:40:20.800201+00:00
5,5,4,5,5,5,5,5,5,5,4,Not Rated,0.191,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,F-150 (REGULAR CAB) GAS,2024 Ford F-150 (Regular Cab) Gas PU/RC 4WD,19125,2024-05-25 12:40:20.800201+00:00
5,5,4,5,5,5,5,5,5,5,4,Not Rated,0.164,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,F-150 (SUPER CAB) GAS,2024 Ford F-150 (Super Cab) Gas PU/EC RWD,19126,2024-05-25 12:40:20.800201+00:00
5,5,4,5,5,5,5,5,5,5,4,Not Rated,0.191,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,F-150 (SUPER CAB) GAS,2024 Ford F-150 (Super Cab) Gas PU/EC 4WD,19127,2024-05-25 12:31:50.348814+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.164,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,F-150 (SUPER CREW) GAS,2024 Ford F-150 (Super Crew) Gas PU/CC RWD,19128,2024-05-25 12:31:50.348814+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.191,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,F-150 (SUPER CREW) GAS,2024 Ford F-150 (Super Crew) Gas PU/CC 4WD,19129,2024-05-25 12:31:50.348814+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.0,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,F-150 (SUPER CREW) HEV,2024 Ford F-150 (Super Crew) HEV PU/CC RWD,19130,2024-05-25 12:31:50.348814+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.0,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,F-150 (SUPER CREW) HEV,2024 Ford F-150 (Super Crew) HEV PU/CC 4WD,19131,2024-05-25 12:31:50.348814+00:00
5,4,4,4,5,5,5,5,5,5,4,Not Rated,0.127,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,F-150 (SUPER CREW) LIGHTNING BEV,2024 Ford F-150 (Super Crew) Lightning BEV PU/CC 4WD,19132,2024-05-25 12:40:20.800201+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,FORD,F-250 (CREW CAB),2024 Ford F-250 (Crew Cab) PU/CC RWD,19137,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,FORD,F-250 (CREW CAB),2024 Ford F-250 (Crew Cab) PU/CC 4WD,19138,2024-12-31 11:37:41.109304+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,FORD,F-250 (REGULAR CAB),2024 Ford F-250 (Regular Cab) PU/RC RWD,19133,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,FORD,F-250 (REGULAR CAB),2024 Ford F-250 (Regular Cab) PU/RC 4WD,19134,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,FORD,F-250 (SUPER CAB),2024 Ford F-250 (Super Cab) PU/EC RWD,19135,2024-12-29 11:33:30.038202+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,FORD,F-250 (SUPER CAB),2024 Ford F-250 (Super Cab) PU/EC 4WD,19136,2024-12-21 11:33:05.659837+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,FORD,F-250 TREMOR (CREW CAB),2024 Ford F-250 Tremor (Crew Cab) PU/CC 4WD,19139,2024-12-29 11:33:30.038202+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,FORD,F-350 (CREW CAB),2024 Ford F-350 (Crew Cab) PU/CC RWD,19144,2024-12-31 11:37:41.109304+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,FORD,F-350 (CREW CAB),2024 Ford F-350 (Crew Cab) PU/CC 4WD,19145,2024-12-31 11:37:41.109304+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,FORD,F-350 (REGULAR CAB),2024 Ford F-350 (Regular Cab) PU/RC RWD,19140,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,FORD,F-350 (REGULAR CAB),2024 Ford F-350 (Regular Cab) PU/RC 4WD,19141,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,FORD,F-350 (SUPER CAB),2024 Ford F-350 (Super Cab) PU/EC RWD,19142,2024-12-29 11:33:30.038202+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,2024,FORD,F-350 (SUPER CAB),2024 Ford F-350 (Super Cab) PU/EC 4WD,19143,2024-12-17 11:33:30.434063+00:00
4,5,5,4,5,5,5,5,5,5,4,Not Rated,0.169,0.0,No Tip,5,Standard,Standard & Optional,Optional,2024,FORD,MAVERICK,2024 Ford Maverick PU/CC FWD,19146,2024-05-25 12:40:20.800201+00:00
4,5,5,4,5,5,5,5,5,5,4,Not Rated,0.155,0.0,No Tip,5,Standard,Standard & Optional,Optional,2024,FORD,MAVERICK,2024 Ford Maverick PU/CC 4WD,19147,2024-05-25 12:40:20.800201+00:00
4,5,5,4,5,5,5,5,5,5,4,Not Rated,0.169,0.0,No Tip,5,Standard,Standard & Optional,Optional,2024,FORD,MAVERICK HEV,2024 Ford Maverick HEV PU/CC FWD,19148,2024-05-25 12:31:50.348814+00:00
5,5,5,5,5,5,4,5,4,5,5,Not Rated,0.079,0.0,No Tip,5,Standard,Standard & Optional,Standard,2024,FORD,MUSTANG,2024 Ford Mustang 2 DR RWD,19149,2024-06-24 09:59:09.127443+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.079,0.0,No Tip,Not Rated,Standard,Standard & Optional,Standard,2024,FORD,MUSTANG,2024 Ford Mustang C RWD,19150,2024-12-29 11:33:30.038202+00:00
5,4,4,4,5,5,5,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,Standard,Standard,Standard,2024,FORD,MUSTANG MACH-E BEV,2024 Ford Mustang Mach-E BEV SUV RWD,19151,2024-09-24 10:33:38.026870+00:00
5,4,4,4,5,5,5,5,5,5,5,Not Rated,0.086,0.0,No Tip,5,Standard,Standard,Standard,2024,FORD,MUSTANG MACH-E BEV,2024 Ford Mustang Mach-E BEV SUV AWD,19152,2024-10-01 10:34:17.715282+00:00
4,5,5,5,5,5,5,5,5,5,3,Not Rated,0.279,0.0,No Tip,5,Standard,Standard & Optional,Optional,2024,FORD,RANGER (SUPER CREW),2024 Ford Ranger (Super Crew) PU/CC RWD,19153,2024-12-29 11:33:30.038202+00:00
4,5,5,5,5,5,5,5,5,5,3,Not Rated,0.228,0.0,No Tip,5,Standard,Standard & Optional,Optional,2024,FORD,RANGER (SUPER CREW),2024 Ford Ranger (Super Crew) PU/CC 4WD,19154,2024-12-29 11:33:30.038202+00:00
2,3,4,2,5,5,5,5,5,5,1,Not Rated,0.516,0.0,No Tip,5,Standard,Standard & Optional,Optional,2024,FORD,"TRANSIT HIGH ROOF (8,10,12) PASS","2024 Ford TRANSIT HIGH ROOF (8,10,12) PASS PV RWD",19166,2024-05-25 12:31:50.348814+00:00
3,3,4,2,5,5,5,5,5,5,1,Not Rated,0.516,0.0,No Tip,5,Standard,Standard & Optional,Optional,2024,FORD,"TRANSIT HIGH ROOF (8,10,12) PASS","2024 Ford TRANSIT HIGH ROOF (8,10,12) PASS PV AWD",19167,2024-05-25 12:31:50.348814+00:00
3,3,4,2,5,5,5,5,5,5,1,Not Rated,0.516,0.0,No Tip,5,Standard,Standard & Optional,Optional,2024,FORD,TRANSIT HIGH ROOF 15 PASS,2024 Ford TRANSIT HIGH ROOF 15 PASS PV RWD,19168,2024-05-25 12:40:20.800201+00:00
3,3,4,2,5,5,5,5,5,5,2,Not Rated,0.376,0.0,No Tip,5,Standard,Standard & Optional,Optional,2024,FORD,TRANSIT HIGH ROOF 15 PASS,2024 Ford TRANSIT HIGH ROOF 15 PASS PV AWD,19169,2024-05-25 12:30:30.278697+00:00
4,3,4,2,5,5,5,5,5,5,3,Not Rated,0.267,0.0,No Tip,5,Standard,Standard & Optional,Optional,2024,FORD,"TRANSIT LOW ROOF (8,10,12) PASS","2024 Ford TRANSIT LOW ROOF (8,10,12) PASS PV RWD",19158,2024-05-25 12:31:50.348814+00:00
Not Rated,3,4,2,5,5,5,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,Standard,Standard & Optional,Optional,2024,FORD,"TRANSIT LOW ROOF (8,10,12) PASS","2024 Ford TRANSIT LOW ROOF (8,10,12) PASS PV AWD",19159,2024-12-21 11:33:05.659837+00:00
3,3,4,2,5,5,5,5,5,5,2,Not Rated,0.376,0.0,No Tip,5,Standard,Standard & Optional,Optional,2024,FORD,TRANSIT LOW ROOF 15 PASS,2024 Ford TRANSIT LOW ROOF 15 PASS PV RWD,19160,2024-05-25 12:31:50.348814+00:00
Not Rated,3,4,2,5,5,5,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,Standard,Standard & Optional,Optional,2024,FORD,TRANSIT LOW ROOF 15 PASS,2024 Ford TRANSIT LOW ROOF 15 PASS PV AWD,19161,2024-12-26 11:38:15.587083+00:00
3,3,4,2,5,5,5,5,5,5,2,Not Rated,0.376,0.0,No Tip,5,Standard,Standard & Optional,Optional,2024,FORD,"TRANSIT MEDIUM ROOF (8,10,12) PASS","2024 Ford TRANSIT MEDIUM ROOF (8,10,12) PASS PV RWD",19162,2024-05-25 12:40:20.800201+00:00
Not Rated,3,4,2,5,5,5,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,Standard,Standard & Optional,Optional,2024,FORD,"TRANSIT MEDIUM ROOF (8,10,12) PASS","2024 Ford TRANSIT MEDIUM ROOF (8,10,12) PASS PV AWD",19163,2024-12-30 11:33:00.092872+00:00
3,3,4,2,5,5,5,5,5,5,2,Not Rated,0.376,0.0,No Tip,5,Standard,Standard & Optional,Optional,2024,FORD,TRANSIT MEDIUM ROOF 15 PASS,2024 Ford TRANSIT MEDIUM ROOF 15 PASS PV RWD,19164,2024-05-25 12:31:50.348814+00:00
